titel,omschrijving,provincie,plaats,thema,lat,lng,url,zichtbaar
Energieatelier Leeuwarden,"Bewoners werken samen aan lokale energiebesparing.",Friesland,Leeuwarden,Energie,53.2012,5.7999,https://example.com/energieatelier,ja
Groene Buurt Groningen,"Een netwerk van buurtbewoners vergroent straten en pleinen.",Groningen,Groningen,Groen,53.2194,6.5665,https://example.com/groene-buurt,ja
Zorgzame Wijk Assen,"Vrijwilligers koppelen hulpvragen aan mensen in de wijk.",Drenthe,Assen,Zorg,52.9928,6.5642,https://example.com/zorgzame-wijk,ja
Repairhub Drachten,"Maandelijkse reparatiemiddag voor apparaten en fietsen.",Friesland,Drachten,Circulair,53.1125,6.0989,https://example.com/repairhub,ja
Jongerenlab Emmen,"Jongeren ontwerpen activiteiten rond cultuur en ontmoeting.",Drenthe,Emmen,Cultuur,52.7792,6.9067,https://example.com/jongerenlab,ja
Voedseltuin Sneek,"Vrijwilligers verbouwen groenten voor lokale voedselinitiatieven.",Friesland,Sneek,Groen,53.0329,5.6589,https://example.com/voedseltuin-sneek,ja
Energiekring Harlingen,"Huishoudens delen kennis over isolatie en gezamenlijke inkoop.",Friesland,Harlingen,Energie,53.1746,5.4252,https://example.com/energiekring-harlingen,ja
Buurtkamer Winschoten,"Een laagdrempelige ontmoetingsplek voor buurtbewoners.",Groningen,Winschoten,Zorg,53.1442,7.0347,https://example.com/buurtkamer-winschoten,ja
Maakplaats Appingedam,"Inwoners repareren, maken en hergebruiken materialen.",Groningen,Appingedam,Circulair,53.3217,6.8586,https://example.com/maakplaats-appingedam,ja
Cultuurpodium Hoogeveen,"Lokale makers organiseren kleinschalige optredens en workshops.",Drenthe,Hoogeveen,Cultuur,52.7286,6.4901,https://example.com/cultuurpodium-hoogeveen,ja
Groene Route Meppel,"Bewoners vergroenen routes tussen school, wijk en centrum.",Drenthe,Meppel,Groen,52.6959,6.1948,https://example.com/groene-route-meppel,ja
Zon op Zuidhorn,"Collectief zonnedak voor inwoners zonder geschikt eigen dak.",Groningen,Zuidhorn,Energie,53.2467,6.4022,https://example.com/zon-op-zuidhorn,ja
Mienskipsatelier Bolsward,"Bewoners ontwikkelen samen activiteiten rond erfgoed en ontmoeting.",Friesland,Bolsward,Cultuur,53.0656,5.5318,https://example.com/mienskipsatelier-bolsward,ja
